ticker,report_id,passage_id,passage_type,first_page_number,last_page_number,word_count,token_count,share_of_report_words,participates_in_alignment_gap,cumulative_corpus_word_share
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,13d16d59-a83d-4b4e-8049-e89b7647e336,PARAGRAPH,27,27,562,659,0.010857385726981182,True,0.03384178165387583
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,9ead69d9-b20d-4cc3-b619-7683c71d6df1,PARAGRAPH,34,34,429,561,0.008287933232873537,True,0.034152323125277786
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,becc14c1-eeb6-493b-8f5a-fd128aa8481b,PARAGRAPH,35,35,461,513,0.008906147366794173,True,0.034486028529278484
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,b96d0165-984b-4af4-8edf-a644b5986765,PARAGRAPH,53,53,579,675,0.011185811985626522,True,0.03490515093473707
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,318ee8fa-ca71-4087-b61a-3578832f6360,PARAGRAPH,54,54,630,753,0.012171090761562536,True,0.0353611908577749
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,6e99138a-7e49-40a8-885a-06504b3933b3,PARAGRAPH,55,55,547,646,0.010567597851705884,True,0.03575714933063474
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,ec4d145d-63bb-4ef1-af9b-3a7dcaaec429,PARAGRAPH,57,57,465,564,0.008983424133534253,True,0.03609375022621028
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,e9d3985c-9a7e-422d-84c8-08c993adf212,HEADING_WITH_BODY,60,61,394,583,0.00761176152389784,True,0.03637895614633235
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,b26b0d0f-029e-4d58-81be-f3b46bc4e9bc,HEADING_WITH_BODY,68,69,322,585,0.006220779722576408,True,0.036612043218107244
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,e426e067-a271-4aa3-bc2d-1d492dc6cff8,PARAGRAPH,70,70,608,718,0.011746068544492099,True,0.03705215793748344
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,f7cde37c-ac71-48b7-909d-cf97b3a3222a,HEADING_WITH_BODY,81,81,281,687,0.005428692863490591,True,0.03725556622061619
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,18998895-1d78-420a-99fa-2dabad099fcd,HEADING_WITH_BODY,82,82,249,615,0.004810478729569955,True,0.03743581057115019
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,b14516da-62a8-494f-ac31-b1924527597e,HEADING_WITH_BODY,83,83,226,537,0.004366137320814497,True,0.037599405845128844
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,b01aa4bb-c99d-4a44-b2f9-76b8b10a3338,PARAGRAPH,85,85,506,645,0.009775510992620069,True,0.03796568552934653
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,dd017e1a-4dcf-4085-97ac-561f22558a13,PARAGRAPH,86,86,619,723,0.011958579653027317,True,0.03841376285055355
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,d522513e-d3b5-44ed-b454-69e4bd278049,HEADING_WITH_BODY,99,100,269,527,0.005196862563270353,True,0.038608484658961766
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,93773a93-167a-46ab-9f09-4bd389b8f8cd,HEADING_WITH_BODY,101,101,263,533,0.005080947413160233,True,0.03879886323000772
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,bcf1409c-2cd4-4e5d-aae1-2934ff934f34,HEADING_WITH_BODY,102,103,382,522,0.007379931223677601,True,0.03907538267540526
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,6616d95b-b601-437d-a0ad-ef763f7134f6,HEADING_WITH_BODY,104,105,326,576,0.006298056489316487,True,0.039311365238754996
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,e3b21a9e-b90f-4e8e-9c54-01c9684e7fcf,TABLE_CONTEXT,106,107,358,615,0.006916270623237124,True,0.03957051173470348
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,137a1723-b734-4c5d-9758-bd8a530135d7,HEADING_WITH_BODY,111,111,384,547,0.007418569607047641,True,0.03984847892588844
KP2,5c665d1e-a960-435d-ad3f-6053ff31aae7,03e86cb3-b5bd-4293-89a0-caea742b0366,PARAGRAPH,117,117,538,709,0.010393725126540706,True,0.04023792254270488
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,80ca3bcb-3c8c-459b-8a05-e592a9bd530a,HEADING_WITH_BODY,3,3,304,522,0.006243325392261563,True,0.04045797990239298
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,853cf6fc-43f2-4bae-8712-091edef9cc38,HEADING_WITH_BODY,4,4,387,534,0.007947917522385608,True,0.040738118712259075
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,bcbdc0af-6bfd-4233-9162-cb615db0e6a4,HEADING_WITH_BODY,6,6,356,522,0.0073112626304115665,True,0.04099581746242014
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,8f7abf4b-2e6b-4403-abd6-fe06de211554,PARAGRAPH,7,7,633,853,0.01300008214901832,True,0.0414540290041391
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,64adb543-e125-4e9b-b3c4-c955f1c5d841,PARAGRAPH,15,15,495,685,0.010165941017004847,True,0.041812346086525974
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,3639ceef-f31b-45d3-bff1-2f832b11407e,PARAGRAPH,17,17,591,707,0.012137517456666393,True,0.04224015496670908
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,8f11ef18-ce9a-4aab-bc8a-b3b5a57e271b,PARAGRAPH,18,18,588,725,0.012075905692926969,True,0.04266579222821106
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,c38259bf-116d-41c7-9f82-6f932a469fc5,PARAGRAPH,19,19,582,679,0.011952682165448123,True,0.043087086252350776
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,a2dc61d5-4e73-4068-a0f5-020ab6f0cf74,PARAGRAPH,20,20,579,724,0.0118910704017087,True,0.04350620865780936
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,f184928a-b3c8-4ad7-b16f-77f15582e5eb,PARAGRAPH,21,21,534,636,0.01096689394561735,True,0.04389275678305095
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,49f683cd-ace0-44b3-922a-5bf82cc49797,PARAGRAPH,22,22,673,953,0.01382157233221063,True,0.04437992324051835
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,1cf3ba8c-4ae5-432a-8aa0-992ed70fc3df,PARAGRAPH,31,31,526,683,0.010802595908978887,True,0.04476068038261026
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,ebb3e196-dcb9-402f-be46-748935f52907,PARAGRAPH,32,32,477,529,0.009796270434568308,True,0.04510596775291033
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,5b0db87c-09bc-4c76-82a3-96e7bdcb3b75,PARAGRAPH,50,50,641,747,0.013164380185656781,True,0.04556997027777898
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,154964d3-9b99-4dff-a987-df6773a99bd8,PARAGRAPH,51,51,633,757,0.01300008214901832,True,0.04602818181949795
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,7b2521c6-a4ff-4ac9-9892-4953340195b7,PARAGRAPH,52,52,525,635,0.01078205865439908,True,0.04640821508869614
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,c75b3c28-3e7c-4063-af63-093ef248a425,PARAGRAPH,63,63,547,657,0.011233878255154851,True,0.04680417356155598
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,208687b7-1768-4c21-9448-fd70faf2f7c2,PARAGRAPH,64,64,569,667,0.011685697855910622,True,0.04721605723807745
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,9613931b-3183-4dda-b53b-2e1aaa9712c6,LIST,66,66,447,520,0.009180152797174074,True,0.0475396284215662
KP2,15fb5b0d-cb2a-4633-8851-a31c37abe2f1,7731c478-9f2a-48fe-920e-33d79384a5a4,PARAGRAPH,81,81,669,842,0.0137394233138914,True,0.048023899387458754
