publication_id,target_embedding_id,target_passage_id,dimensions_ok,vector_nonzero
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,83ba5e56-3592-52cc-9932-a7996bfa4d4b,011d9003-c385-5149-9e46-bedf98f32c42,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,4d797f55-7678-5216-8be6-cbd8cd7741a9,012113d2-3739-546e-bb0b-7c9655c6b319,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,f67c4b4d-a9c0-5755-a7d8-2aedecbb0209,012357f4-09cd-5ff8-94ef-d50fa8d42e3c,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,e37601a5-6b42-52e0-bc01-f024cea7ab57,012440c7-56a9-5eaf-a983-c09ae9914245,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,dd0f0f75-61df-548f-babf-02b4df18f563,0128c61a-ad70-5862-8ff3-2da982375c2b,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,65e4fdf3-90ce-55f2-898c-34d886547365,01298861-69cb-5f2a-8c55-85062f9a2d9c,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,df05972c-88b8-5395-87c0-21afecfa4eff,0129b6af-c9a1-5696-9e31-08006a0f4585,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c055a913-aa12-55a6-8451-0d3629e1d42d,0129ee7a-7806-575d-82ff-fc842248ea3f,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,5f89a08a-1bc4-58e5-8b75-1a10cbc041e7,012b52f6-ea30-5a2b-9809-68220bf04e94,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,7042aa51-3d8c-5bce-82b8-7c2008dce0c4,012e8e5e-da7a-50b9-a4a5-6ec6e20d9bd1,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,33b4f905-3c62-5d00-ade4-4a22649b72fc,012fca2c-e078-5179-b55e-3edb2a7259b8,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,fedc6a73-e73a-5292-a71e-1c09109c5594,013358fe-1ce9-529a-845c-d21c06c55398,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,034ee878-b015-5064-92d9-b08df8a143be,0135be8d-1b1d-5895-9147-ca73146fee96,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,fec0ff4b-a5d9-5152-aba7-f7454fad501f,01373e28-e4d1-5e6f-bec3-a6f14e97d1be,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,3bfad717-b027-5cce-9f48-060b4bf7c145,013a4006-1876-5232-9780-35ef3c4afb31,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,808bf921-4300-5c99-b27f-b3dcf59851e6,013d98df-7b57-53d9-a1b0-d70e9a35e4a0,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,50f1c03d-caa8-5bd7-8d39-c46be5c71a92,01445667-3e89-53cf-b815-353b53218218,True,True
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,c5ac50ab-7410-5133-8824-0aa534586016,0146c468-9ab4-57fd-8360-00bea65556c7,True,True
