ticker,report_pair_id,population,analyzed_words,words_vs_baseline_pct,net_tone_change,net_tone_change_delta_vs_baseline,positive_rate_change,negative_rate_change,uncertainty_rate_change,litigious_rate_change,constraining_rate_change,strong_modal_rate_change,weak_modal_rate_change
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,2_exclude_needs_review,26254,0.3007055481742796,8.20698966534481,5.381173690275105,6.267892485266934,-1.9390971800778765,-2.5524688861061637,-1.4603671906930051,-1.6667711937136422,-1.462500475034628,-1.466055948937333
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,3_high_medium_low,26254,0.3007055481742796,8.20698966534481,5.381173690275105,6.267892485266934,-1.9390971800778765,-2.5524688861061637,-1.4603671906930051,-1.6667711937136422,-1.462500475034628,-1.466055948937333
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,4_high_medium_only,24795,0.2839945938516516,10.838842590209671,8.013026615139966,7.0553562225663775,-3.7834863676432935,-3.138631297965066,-3.2941522932994367,-2.377933610061237,-1.6003286333893865,-1.6287029079885147
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,5_high_only,23533,0.26954001924222293,11.942388905832594,9.116572930762889,7.446851125016035,-4.495537780816559,-3.04825397679296,-3.399747825650606,-1.756543727694508,-1.5432266140394786,-1.6000446561756467
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,6_exclude_ambiguous,83326,0.9543913501626426,2.573940764303604,-0.25187521076610153,2.501436958545945,-0.07250380575765902,-0.5466552663411237,0.04661300893618403,-0.09101058054855571,-0.8417589007413664,-0.26178671012652166
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,7_exclude_collision_flagged,31914,0.3655335135382783,8.248300772315826,5.4224847972461205,7.431997676788956,-0.8163030955268695,-2.0407102876112493,-1.444367257149474,-1.2651203267679842,-1.569590989585409,-1.3637002070770625
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,8_exclude_split_merge_flagged,87308,1.0,2.8258159750697054,0.0,3.06281777923569,0.2370018041659847,-0.5241375539883002,0.07777048821824994,-0.09143841233393513,-0.8833305997485104,-0.28456618008856793
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,1_all_alignments,78906,1.0,-2.451732244362976,0.0,-1.4142421917954735,1.0374900525675024,0.05179906709377313,0.3987754468429694,0.2529411502558867,0.45265189250502846,-0.24635311356726142
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,2_exclude_needs_review,23141,0.29327300838972953,-3.1436314363143616,-0.6918991919513857,-2.2609680537736665,0.8826633825406951,0.4236725034683513,2.405318476869735,0.6588193504815187,1.4894866683648154,0.09617129801651547
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,3_high_medium_low,23141,0.29327300838972953,-3.1436314363143616,-0.6918991919513857,-2.2609680537736665,0.8826633825406951,0.4236725034683513,2.405318476869735,0.6588193504815187,1.4894866683648154,0.09617129801651547
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,4_high_medium_only,20928,0.26522697893696295,-3.1023424229574683,-0.6506101785944924,-2.0593205504217824,1.043021872535686,-0.4786416862449858,2.6680620000923723,0.9008149433975747,2.251191567482624,0.32942134400183054
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,5_high_only,19823,0.25122297417179934,-3.9843078395033658,-1.5325755951403899,-2.7511904841335664,1.2331173553697994,-0.5855965055479313,2.6462781266207207,0.9959260411301774,1.999678675456598,0.34932658996605337
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,6_exclude_ambiguous,76538,0.9699896078878666,-2.3427073841575634,0.10902486020541247,-1.579976821596773,0.7627305625607903,-0.2022744800332248,0.9090985172301274,0.3573806768929195,0.49668897596170414,-0.24067574524628466
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,7_exclude_collision_flagged,25826,0.32730083897295514,-3.0336989585822973,-0.5819667142193214,-1.587858866674683,1.4458400919076144,1.0295424041621928,0.5454215676013874,0.35327263936207665,1.256839917076829,0.03147503903204729
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,8_exclude_split_merge_flagged,78906,1.0,-2.451732244362976,0.0,-1.4142421917954735,1.0374900525675024,0.05179906709377313,0.3987754468429694,0.2529411502558867,0.45265189250502846,-0.24635311356726142
BEL,15448205-d33c-49ad-9637-b06e00e113fa,1_all_alignments,68969,1.0,1.270871576141559,0.0,-0.046435895993678145,-1.3173074721352371,0.16615342721125703,0.11145271043388849,0.6144108308334264,-0.23526774921818516,0.536462309425676
BEL,15448205-d33c-49ad-9637-b06e00e113fa,2_exclude_needs_review,11996,0.1739332163725732,-0.9783683502899017,-2.2492399264314606,-1.8676525754709914,-0.8892842251810897,2.0263023937827507,1.1618749750458797,1.5065337811784705,0.3141299767413699,-0.26680751078157017
BEL,15448205-d33c-49ad-9637-b06e00e113fa,3_high_medium_low,11996,0.1739332163725732,-0.9783683502899017,-2.2492399264314606,-1.8676525754709914,-0.8892842251810897,2.0263023937827507,1.1618749750458797,1.5065337811784705,0.3141299767413699,-0.26680751078157017
BEL,15448205-d33c-49ad-9637-b06e00e113fa,4_high_medium_only,11288,0.16366773477939364,1.9831845253802882,0.7123129492387292,-1.5457580057472402,-3.5289425311275284,1.5515384193936397,0.602922275552821,1.5324379221272721,0.4017387484248376,-0.2400128274918485
BEL,15448205-d33c-49ad-9637-b06e00e113fa,5_high_only,11178,0.1620728153228262,1.5262515262515262,0.25537995010996717,-1.831501831501832,-3.3577533577533583,1.4997080214471517,0.7034028773159209,1.6589690502733978,0.4910548388809257,-0.19907628603280791
BEL,15448205-d33c-49ad-9637-b06e00e113fa,6_exclude_ambiguous,62887,0.9118154533196073,0.47399049604251786,-0.7968810800990411,-0.8027475918978517,-1.2767380879403696,0.24192380707311312,-0.06207060555257993,0.7453359239279038,-0.22723272506716397,0.4428267057368036
BEL,15448205-d33c-49ad-9637-b06e00e113fa,7_exclude_collision_flagged,19716,0.28586756368803373,2.2459927476434327,0.9751211715018737,0.9875483221154493,-1.2584444255279834,1.4907057930063674,1.153328707802527,0.5116606128790915,-0.2510279871447727,0.3321784330197879
BEL,15448205-d33c-49ad-9637-b06e00e113fa,8_exclude_split_merge_flagged,68969,1.0,1.270871576141559,0.0,-0.046435895993678145,-1.3173074721352371,0.16615342721125703,0.11145271043388849,0.6144108308334264,-0.23526774921818516,0.536462309425676
