ticker,report_id,period_end,narrative_document_id,segmentation_run_id,source_word_count,passage_count,excluded_passage_count,min_passage_word_count,median_passage_word_count,mean_passage_word_count,max_passage_word_count,multi_page_passage_count,heading_associated_passage_count,provenance_warning_count,run_status,warnings,configuration_hash
SUR,e963ada9-264f-493c-8877-ced57861c1da,2023-06-30,a743312e-70ec-4021-ba89-411d0c3c24e0,fa0d53b6-7b59-47a7-bf27-25b0257846b3,78210,2078,0,1,6.0,37.6,368,66,2046,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,627c643f-cfeb-4d8c-a6aa-cae4f04f54ae,2024-06-30,ee47fb61-2cd2-4e26-a9c8-ac387e4b4057,e218c024-90fe-40b5-ba94-68e64be027a6,55330,1094,0,1,11.0,50.6,369,26,1058,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
KP2,8ac44907-16b3-41be-b0aa-a2047f51d366,2023-12-31,162f5b47-051a-4ea8-9c82-f6ec786b0cce,3c27f22a-3ff4-4990-bbc2-c691aae99282,51591,557,3,1,3,92.6,723,49,447,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SBP,a778946b-b598-43d5-80eb-8df78da559c4,,0198b2cf-47bd-44dc-b3f0-1e929e782ad3,193e9acd-c956-4cc4-b752-b92f6a31e4c7,19385,205,1,1,42,94.6,334,32,187,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SDL,67ce190f-2d0c-4c58-ab57-aee35a812471,,5b456070-46ff-4313-80b1-c732d160572a,83f29ed9-339c-410c-bd40-99e1eddbb5ce,20132,320,0,1,8.0,62.9,516,6,303,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SUR,e5036fd8-c4ab-4c24-a570-300a47c14646,2024-06-30,41ced56a-f460-4baa-a304-fc6601236316,0cfd26fe-adb2-4ead-8d27-566fb95d3f1a,78169,2406,1,1,5.0,32.5,339,85,2377,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
KP2,6727add6-a49e-45ee-8153-74bc358cea76,2025-12-31,960903db-a0ce-4c12-9c92-06b62dac28b5,7c80aa25-df96-4c01-b4f4-489ee7532c55,51137,498,1,1,7.5,102.7,611,50,398,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SBP,95435d37-add8-401b-b381-a4b3bca05b56,,7a012282-0e19-44ba-a8b5-510ee0c62b92,aeb1f670-7209-46ff-a03a-8513392ed0ac,19359,202,1,1,35.0,95.8,380,31,183,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SDL,1bcb0b78-58e8-4ac2-a2ee-0c25ef6364a3,,577623df-18a7-47f5-b952-d38b88b40d95,9de91d6d-08a3-47f0-999b-07ad2d0763e4,20028,310,1,1,8.0,64.6,551,4,294,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
SUR,c8ead76a-0251-4736-b4b1-3d7e092a4fce,,774c6d32-624f-45ba-98ae-9ce03aad4476,19de5d83-7e82-4b50-9b6e-de4a51810db1,84587,2441,1,1,8,34.7,346,72,2404,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
