publication_id,target_passage_id,target_embedding_id,source_embedding_id,source_embedding_run_id
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,007cd5e2-b1ff-583d-9db3-b5280c22d758,724085ce-2adc-55b9-b55d-a6e9fb077d52,a8a0319d-323c-4757-a94a-b65d1865f5b6,cc226ef3-b3fb-45d8-94d4-8f0fd7b80529
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00866318-96b3-5915-b99d-beb17fe0a212,32d3055b-7be6-5778-8106-cab8f18c4e14,b9f5aa08-8f67-462c-b457-3ab5be443c42,74c5d831-070f-4ae6-a59e-d88cee72750b
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,008d1019-7075-5b71-a8bc-aaa1ccc7635c,52ae6107-6ce4-5c84-95f8-61d083ea9290,e04de10d-f884-467b-ad4b-dc7eddb77059,6a94602c-2c3f-4f13-8f83-5d2cfd63799a
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,008e78bb-c2d8-5161-8e7c-efd9354c5d74,24fc065a-9dec-57a4-bae3-bac6118913b0,08c3f9bd-946b-4bbc-b6d0-817fa6e2cb33,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,008ef631-044c-54b3-8c78-9daee3c3af16,a7d6f195-770a-5645-8139-24587ff9f760,6c8cbbe0-bdc3-4e45-be65-070b2cfec016,d1517770-56a7-432c-a340-b1b61f2fe343
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,008fbedf-5336-5831-ab79-649f77f8587a,c9971aff-1e00-5a85-b160-48d3ffc485a3,97b1f937-27cb-4e93-a256-d33bcb338dc3,277bca85-6ba1-49f7-94fe-29ca70c944d6
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,0090a4b4-b346-5094-8baa-1bb547fa0784,4c47bc06-9576-502a-a719-1a12bb8c2460,273610df-0bbf-4fc2-90ff-c59fa6a074cd,277bca85-6ba1-49f7-94fe-29ca70c944d6
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00918d45-72f3-5b83-a53a-23dad5f4303f,f13f48f9-38ab-5ba5-8975-bc4707cc0b2c,5ee1594e-0c39-44f2-a18e-e327786a59b3,4e7fe537-33fc-4490-9ee4-d51d6b3bbd7d
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,009253b2-2e30-529e-b68d-5c9f25772808,b31d5d1c-ab81-57ce-8712-1163b863d5ab,6a9a045c-cae4-4866-8253-85a4b671b3e9,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00a1014f-3ee7-5aaa-8891-e9797f42a84a,7f280bf2-86af-5c6e-8af1-320041e14826,2e6070d7-53ab-46f3-8916-5c3ccaa62709,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00a3ad9f-d23d-5812-9dd8-b759f5debcdd,53d53630-9c76-5df4-9ef0-cca1a3a65d5d,bd209164-c0b9-46cf-9450-8a8136d830ae,d1a3cdde-59da-48c6-af2f-853ad4d36757
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00a7a730-1bab-545b-902a-0af9080df979,926d34d2-fb74-5ef7-b4c3-f4f87b6c1614,71c0051b-0fb1-427c-8fe4-707ec11f04fa,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00aa3337-9c7b-5b5b-9966-1b5ba6ff985b,a2952710-2188-568c-9803-b88b095a3897,b2a73a96-b107-40dc-b941-bf6c6f808be2,e505af74-41a3-4e1b-be55-aabb8ceb91cc
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00afaadb-2843-5ab8-92ce-02750956a7fc,2ed9ef3b-6b56-5b39-94c7-f2a381f18261,95107fb0-c7c9-467b-b733-48f4f643c45c,faf17e5b-5744-4274-b339-91fa5eb172f3
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00ba21a0-bd62-5cb0-b20f-b1ad9bd60214,c36043db-013f-59b0-8923-a1ad8ea19ee8,5c4c0c12-05c0-43ad-9e7a-db3521dced04,d4d0fde1-e59d-4a73-9025-4b64b022008c
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00bced0f-f383-59f1-bca5-09c35252afb4,b4dbc03b-4dba-5e9c-a282-6f2b22a3b75b,92e64613-9256-48d4-a14b-f3bb82fbc905,da0c58c7-a5a6-4880-ab21-70ade852bab2
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00bfe1b4-0aa3-5608-b0ee-d4dfe65e7ef2,3cf6c5fa-b2fe-57f3-a617-58100d7d8602,bc41cb81-fc4c-4780-a7ec-3f4ba0429f13,277bca85-6ba1-49f7-94fe-29ca70c944d6
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00c0da6b-1072-5abf-b87e-4275e5f69b4f,53d577b2-b5b8-56d1-adec-bec0f92cc2bf,1d17b5c2-5200-4750-a668-6e542e374827,c426feaa-1cc3-49c7-8faa-888ae2f90af9
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00cd9872-bf26-597c-804b-31e04587b824,0a526f63-d7c0-5975-90e4-66541ed822aa,205affa0-8d96-425c-84c0-24072c6c90a1,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00cdd7a6-9ede-516b-b908-c8dd843715d7,8502e2fd-6c10-55da-aba4-3d339bbef478,f8a51606-1e9e-4942-becc-bfbac01639c6,d1517770-56a7-432c-a340-b1b61f2fe343
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00ce13ac-4a56-5297-92c3-bb9a14bf7b44,7c572137-3b64-5c6d-a2dd-b1c0833b96d3,cc6f9cd7-e05e-4b1b-9411-bc6da237b580,faf17e5b-5744-4274-b339-91fa5eb172f3
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00ce4419-2eb8-59e6-9124-55736d349e0c,8e71ba96-f624-5f53-b45e-79e948166d7d,8bdc9047-9eb4-4295-a293-eb7215dd6a3e,6a94602c-2c3f-4f13-8f83-5d2cfd63799a
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00d044d2-c80e-575b-ab78-cfc9747675e4,7a9fe4be-770f-577a-9268-b180965d0610,f288781e-6f42-4121-9d75-a73210a73886,4e7fe537-33fc-4490-9ee4-d51d6b3bbd7d
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00d596cb-a522-5110-8240-9fee6bfb4f45,2b29ab7a-1dd3-54a8-ae43-24a75632990d,d76e2072-50c8-4a55-901c-e4e15da258d4,6a94602c-2c3f-4f13-8f83-5d2cfd63799a
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00d74bd9-3449-5e9a-8fe7-9039a94243a1,555e8879-2312-58e1-8ebf-486bdae0a480,83d7e9fa-5a2a-470d-b28e-f785f89d876d,b075b45d-4b62-4935-89b8-75c528ef6c71
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00d93f65-01a2-54d8-9d21-7822890d1efa,6533fa5e-1647-5c21-b825-953c0745d675,db2ba8e5-2815-49c3-afbc-91dda7d3f108,c426feaa-1cc3-49c7-8faa-888ae2f90af9
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00dad1b3-a0c6-5d32-9eec-d87d3ad217b3,e8ec2889-0a21-5bf9-b6cd-fbb68c635a7c,a34349ad-7c00-4e48-bfb9-8e82527d66fc,6a94602c-2c3f-4f13-8f83-5d2cfd63799a
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00dda700-951a-5878-8dd5-d76902f73344,72429292-4cf5-5d00-b0cc-af7528f121d0,1594c6bc-983a-4fef-b970-e54b42b71562,faf17e5b-5744-4274-b339-91fa5eb172f3
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00e3b526-aecb-5830-bfab-fa8d0841f8dd,024c1106-e99b-5017-873e-d872ad58a84f,125ca936-87c0-4484-b439-0db6f5fba019,cc226ef3-b3fb-45d8-94d4-8f0fd7b80529
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00e85cc4-5a44-5782-9748-ea7a9acc4607,16d75a76-1b63-5bb6-a064-cb5eb2121a55,e14947a6-e2b4-4465-ad2f-6252c6c043c9,cc226ef3-b3fb-45d8-94d4-8f0fd7b80529
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00ecfafe-65dc-5bf0-ac44-bc2c6f43cd2a,5556eae4-7db0-5c8e-8606-ac1051cf4eaa,a7a604a4-9abb-48d9-aae7-c1cc68dabf31,2902a31e-1b4a-414a-8e6b-9f5c9a4f2197
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00f56a3a-1b7e-5ed7-aaa9-1cf55e3f3fed,2858e406-25db-572d-a5c8-e4782b66e3db,3b41500a-3005-48a8-a0d8-54d70ce6ab8c,b075b45d-4b62-4935-89b8-75c528ef6c71
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00f8c9ad-d4ed-5dd9-84bb-a845c970072f,c92c8f35-66fe-5328-8943-35e3049a7a75,9dcab2c0-12dd-4085-8596-721244943037,da0c58c7-a5a6-4880-ab21-70ade852bab2
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,00fcc6ad-0bfd-5474-b19f-2bf700cde3eb,35cf3bf8-c283-59e2-8e3f-3ac9af948250,b874445f-809b-42d4-baa1-09ebbbe1a2e7,c426feaa-1cc3-49c7-8faa-888ae2f90af9
