ticker,company_name,fiscal_year,source_page,source_url,remote_filename,local_path,sha256,bytes_downloaded,page_count,detected_years,discovery_method,validation_status,status,error
KP2,Kore Potash plc,2025,https://korepotash.com/investors/results-and-reports/,https://korepotash.com/wp-content/uploads/2026/03/Audit-20260324-Kore-Potash-plc-Annual-Report-2025-FINAL-DHSIGBDO.pdf,Audit-20260324-Kore-Potash-plc-Annual-Report-2025-FINAL-DHSIGBDO.pdf,data/raw/KP2/2025/annual_report.pdf,3bcf6f68572afdc5537ee56152b5f2486bbba3ebf97a77542f3188a71f9ee429,2451282,138,1924;2012;2024;2025,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2016,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_16.pdf,BELL_ir_16.pdf,data/raw/BEL/2016/annual_report.pdf,b88f33468fd56d799f9d08d3e40a1d163e551fc5ef7dc045fca1fb17afa4c2c0,3987944,92,1954;1964;1977;1982;1984;1989;1998;2001;2002;2003;2008;2009;2011;2012;2013;2014;2015;2016;2017,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2017,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_17.pdf,BELL_ir_17.pdf,data/raw/BEL/2017/annual_report.pdf,14140d83f785b8b6f6229135b55f5d6495c7a211ee6013047a4a7566075e9098,5918530,87,1954;1964;1977;1982;1984;1989;1998;2001;2002;2003;2008;2009;2011;2012;2013;2014;2015;2016;2017;2018,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2018,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_18.pdf,BELL_ir_18.pdf,data/raw/BEL/2018/annual_report.pdf,b57363d4a22af51ac3d430cc4845e6a5088dc3fc83b8247d8cb125499901f5a9,11613657,100,2018;2019,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2019,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_19.pdf,BELL_ir_19.pdf,data/raw/BEL/2019/annual_report.pdf,c1b8189af0a7c99336f5e00459318dd86a498d1d2448a73febe323ade518eee5,8093899,124,2019;2020,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2020,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_20.pdf,BELL_ir_20.pdf,data/raw/BEL/2020/annual_report.pdf,bf74c6a481073b5326cf0e7c4cc6b112e5e2834cda5368bf4a1e89f4043b11e8,5381393,72,1954;2020;2021,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2021,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_21.pdf,BELL_ir_21.pdf,data/raw/BEL/2021/annual_report.pdf,083345371298725e2e99f8f0baaffd0a1f25159a16d22a907752fa727f028be5,4991619,124,1954;2020;2021;2022,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2022,https://www.bellir.co.za/fin_reports.htm,https://www.bellir.co.za/financials/pdfs/BELL_ir_22.pdf,BELL_ir_22.pdf,data/raw/BEL/2022/annual_report.pdf,c359d5f9b99281f5b272ebe7631a1dd432e11e2780f4363ea7a0c125df23b8cd,5099088,132,1954;2022;2023,archive_page,year_confirmed,downloaded,
BEL,Bell Equipment Limited,2023,https://www.bellir.co.za/fin_reports.htm,,,,,0,,,archive_page,not_checked,not_discovered,
BEL,Bell Equipment Limited,2024,https://www.bellir.co.za/fin_reports.htm,,,,,0,,,archive_page,not_checked,not_discovered,
